,RAMP2,MS4A2,label
227,1.1121596,0.0,Xseg
228,1.1302298,0.0,Xseg
229,1.1294527,0.0,Xseg
230,0.0,0.1298374,Xseg
231,0.8731202,0.0,Xseg
232,0.0,0.4839602,Xseg
233,0.9664309,0.0,Xseg
234,0.96992636,0.0,Xseg
235,1.4064534,0.0,Xseg
236,0.0,1.1026785,Xseg
237,0.0,1.2069966,Xseg
238,0.0,0.38573733,Xseg
239,0.0,0.9137557,Xseg
240,0.0,1.04,Xseg
241,1.7423223,0.0,Xseg
242,0.13115835,0.0,Xseg
243,1.2350246,0.0,Xseg
244,0.0,0.5832291,Xseg
245,0.8666667,0.0,Xseg
246,0.66259754,0.0,Xseg
247,0.0,0.71501946,Xseg
248,1.6499643,0.0,Xseg
249,2.06064,0.0,Xseg
250,0.0,0.625722,Xseg
251,0.0,1.1155982,Xseg
252,0.79486746,0.0,Xseg
253,0.0,0.65868264,Xseg
254,0.0,1.8593161,Xseg
255,0.0,0.9618539,Xseg
256,0.0,0.75367236,Xseg
257,0.0,0.5856967,Xseg
258,0.45663038,0.0,Xseg
259,1.5070693,0.0,Xseg
260,0.0,0.6765848,Xseg
261,0.0,1.4387351,Xseg
262,0.0472779,0.0,Xseg
263,1.3,0.0,Xseg
264,0.8270947,0.0,Xseg
265,0.0,1.1304348,Xseg
266,0.0,1.8593161,Xseg
267,2.3599765,0.0,Xseg
268,1.3894578,0.0,Xseg
269,0.0,0.18548217,Xseg
270,0.0,0.99002594,Xseg
271,1.9716219,0.0,Xseg
272,0.0,1.54807,Xseg
273,0.0,0.052504085,Xseg
274,0.0,1.0340962,Xseg
275,0.0,0.61104786,Xseg
276,0.0,0.8125,Xseg
277,0.0005494792,0.0,Xseg
278,0.84520125,1.04,Xseg
279,1.4444444,0.0,Xseg
280,0.1565522,0.0,Xseg
281,0.9284767,0.0,Xseg
282,0.9237387,0.0,Xseg
283,0.9285714,0.0,Xseg
284,1.0993768,0.0,Xseg
285,0.07199732,0.0,Xseg
286,0.7016206,0.0,Xseg
287,3.3641658,0.0,Xseg
288,0.0,1.7965727,Xseg
289,0.0,1.0674806,Xseg
290,0.89231527,0.0,Xseg
291,0.0,1.265919,Xseg
292,1.9326911,0.0,Xseg
293,0.73938185,0.0,Xseg
294,0.9207576,0.0,Xseg
295,1.0453191,0.0,Xseg
296,1.4142368,0.0,Xseg
297,0.69429535,0.0,Xseg
298,0.40699765,0.0,Xseg
299,1.0570705,0.0,Xseg
300,1.6191673,0.0,Xseg
301,0.05117702,0.0,Xseg
302,1.558753,0.0,Xseg
303,1.8867924,0.0,Xseg
304,0.8584199,0.0,Xseg
305,0.37406865,0.0,Xseg
306,0.11246124,0.0,Xseg
307,1.0118273,0.0,Xseg
308,0.062035225,0.0,Xseg
309,0.24665253,0.0,Xseg
310,0.9900461,0.0,Xseg
311,0.6943646,0.0,Xseg
312,3.1522794,0.0,Xseg
313,1.3629671,0.0,Xseg
314,0.0,1.141302,Xseg
315,0.7435841,0.0,Xseg
316,0.77269423,0.0,Xseg
317,0.7673611,0.0,Xseg
318,0.0,0.9005695,Xseg
319,0.86506605,0.0,Xseg
320,0.8975865,0.0,Xseg
321,1.6379464,0.0,Xseg
322,0.5060698,0.0,Xseg
323,0.0,1.7892553,Xseg
324,0.0,2.2063677,Xseg
325,0.991887,0.0,Xseg
326,0.0,0.6298145,Xseg
327,0.86451113,0.0,Xseg
328,0.0,0.8040947,Xseg
329,0.0064745024,0.0,Xseg
330,0.0,0.9285714,Xseg
331,0.53327113,0.0,Xseg
332,0.0,1.5724748,Xseg
333,1.6725811,0.0,Xseg
334,1.0675972,0.0,Xseg
335,1.3295455,0.0,Xseg
336,0.77559847,0.0,Xseg
337,0.83111423,0.0,Xseg
338,0.8898716,0.0,Xseg
339,0.0,1.9251318,Xseg
340,0.66295683,0.0,Xseg
341,0.0,1.5072464,Xseg
342,0.0,0.11680495,Xseg
343,0.0,1.124807,Xseg
344,0.09510634,0.0,Xseg
345,0.0,1.218922,Xseg
346,0.0,0.98728675,Xseg
347,0.0,2.1418824,Xseg
348,1.0106729,0.0,Xseg
349,0.0,0.040605076,Xseg
350,0.017703189,0.0,Xseg
351,0.264166,0.0,Xseg
352,0.8093032,0.0,Xseg
353,0.63587934,0.0,Xseg
354,0.89829844,0.0,Xseg
355,0.81332636,0.0,Xseg
356,0.87071127,0.0,Xseg
357,1.313125,0.0,Xseg
358,1.8972563,0.0,Xseg
359,1.2774174,0.0,Xseg
360,1.2839506,0.0,Xseg
361,0.0,1.7314651,Xseg
362,2.0024505,0.0,Xseg
363,1.8038278,0.0,Xseg
364,1.28,0.0,Xseg
365,0.0,1.3627619,Xseg
366,0.0,1.3630455,Xseg
367,0.0,1.1111112,Xseg
368,1.0745225,0.0,Xseg
369,0.9614548,0.0,Xseg
370,0.0,1.0465722,Xseg
371,0.0,1.1274236,Xseg
372,0.07929179,0.0,Xseg
373,2.3836987,0.0,Xseg
374,1.1869296,0.0,Xseg
375,2.175368,0.0,Xseg
376,1.6676021,0.0,Xseg
