Gene1,Gene2,Cell_Coexpression,Nuclei_Coexpression,Relative_Increase
SQSTM1,MFAP4,0.03111111111111111,0.0045871559633027525,6.782222222222222
CLIC1,ATRAID,0.04878048780487805,0.007194244604316547,6.780487804878049
TNFAIP3,RANBP9,0.04807692307692308,0.0070921985815602835,6.778846153846154
CHIT1,RANBP9,0.04807692307692308,0.0070921985815602835,6.778846153846154
HK1,VEGFB,0.03164556962025317,0.004672897196261682,6.772151898734178
SCGB1A1,PUF60,0.03937007874015748,0.005813953488372093,6.771653543307087
TRBC2,HDLBP,0.022321428571428572,0.0033003300330033004,6.763392857142858
CDH11,CFLAR,0.02336448598130841,0.003472222222222222,6.728971962616822
DEPP1,MID1IP1,0.04310344827586207,0.00641025641025641,6.724137931034483
DCN,MID1IP1,0.04310344827586207,0.00641025641025641,6.724137931034483
C7,GPBP1,0.04201680672268908,0.00625,6.722689075630252
ZYX,ITM2B,0.016835016835016835,0.002506265664160401,6.717171717171717
MYH11,ITM2B,0.016835016835016835,0.002506265664160401,6.717171717171717
TBL1XR1,C11orf58,0.047619047619047616,0.0070921985815602835,6.714285714285714
ANXA7,C1S,0.02046783625730994,0.003048780487804878,6.71345029239766
RBL2,FNDC3B,0.03875968992248062,0.005780346820809248,6.705426356589148
LCN2,S100A16,0.019157088122605363,0.002857142857142857,6.704980842911877
RHOA,CTDSP1,0.05319148936170213,0.007936507936507936,6.702127659574469
MS4A6A,AKAP13,0.031914893617021274,0.004761904761904762,6.702127659574467
TRBC1,MAP4,0.045871559633027525,0.00684931506849315,6.6972477064220195
TPD52,LAPTM5,0.016,0.0023923444976076554,6.688000000000001
FCGRT,MGST3,0.05217391304347826,0.0078125,6.678260869565217
TNIK,EXOC3,0.042735042735042736,0.00641025641025641,6.666666666666667
YBX3,UQCRQ,0.06172839506172839,0.009259259259259259,6.666666666666667
WIPF1,EXOC3,0.042735042735042736,0.00641025641025641,6.666666666666667
SPARCL1,CD46,0.023809523809523808,0.0035714285714285713,6.666666666666666
SERPINA1,HNRNPF,0.0423728813559322,0.006369426751592357,6.6525423728813555
COL6A3,CGN,0.0449438202247191,0.006756756756756757,6.651685393258426
COL6A2,POR,0.05,0.007518796992481203,6.65
BNIP3L,PTGDS,0.032432432432432434,0.004878048780487805,6.648648648648649
CIB1,YBX1,0.016778523489932886,0.0025252525252525255,6.644295302013422
